Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9),Column1
146,18:31:26:908,-9.52E-06,-3.69E-05,-9.80E-06,-3.90E-06,-5.49E-05,1.31E-05,-0.000275691,,-0.239187913,5.020755129,
147,18:31:27:436,6.86E-05,-4.78E-05,5.51E-05,-2.05E-05,-2.36E-08,-2.57E-05,-0.000246548,,,,
148,18:31:27:963,1.39E-05,-3.59E-05,0.000108402,1.99E-05,1.52E-05,-1.21E-05,-0.000267162,,-0.795628278,-17.54952453,
149,18:31:28:490,7.09E-05,1.74E-05,8.78E-05,-2.77E-05,-7.06E-06,0.000111319,0.000394576,,-15.76643232,-55.88500977,
150,18:31:29:016,-2.14E-05,2.93E-05,1.06E-05,9.46E-05,-7.04E-05,-4.16E-06,-4.11E-05,0.356873492,0.059160597,0.583908562,
151,18:31:29:542,4.70E-05,-2.38E-05,4.30E-05,9.67E-05,3.87E-05,7.46E-05,-0.000190629,,1.929015097,-4.928308565,
152,18:31:30:069,5.39E-05,-0.000125448,-2.19E-05,4.27E-05,4.46E-07,-2.33E-05,-0.000285879,,,,
153,18:31:30:595,-5.26E-06,-7.83E-05,9.13E-05,-4.15E-05,-7.48E-05,8.49E-05,-0.000204846,,-1.13433246,2.736865142,
154,18:31:31:123,9.88E-06,6.27E-05,6.84E-05,2.89E-05,-3.78E-06,-3.88E-05,-0.00028659,0.464805873,10.26317606,75.88572419,
155,18:31:31:650,-7.13E-05,7.05E-05,-1.67E-05,5.20E-05,-9.17E-05,-6.10E-05,-0.000229489,1.238372023,0.664591723,2.501665303,
156,18:31:32:177,1.75E-05,1.69E-05,8.35E-05,3.46E-05,-0.000108621,-6.12E-05,-0.000233517,1.161697513,0.563421832,2.149822971,
157,18:31:32:703,-6.51E-05,5.22E-05,-1.22E-05,7.37E-05,8.91E-05,-6.21E-05,-0.000243942,,-0.697238382,-2.737375062,
158,18:31:33:230,-0.00013613,1.67E-05,1.70E-05,-1.51E-05,-9.03E-05,-0.000147448,-0.000248918,2.759221811,1.632373165,2.755737205,
159,18:31:33:756,9.88E-06,9.12E-05,2.67E-05,3.27E-05,-3.38E-05,-7.05E-05,-0.000290381,1.428631381,2.087234896,8.59105164,
160,18:31:34:282,-5.05E-05,1.15E-05,7.24E-05,1.97E-05,-4.29E-05,-2.92E-05,-0.000354586,0.729484417,0.679334885,8.256160116,
161,18:31:34:809,9.70E-05,-7.45E-05,1.34E-05,-7.23E-06,-4.32E-05,9.40E-05,-0.000256263,,-2.177237997,5.93439256,
162,18:31:35:335,6.74E-05,-5.47E-05,3.88E-05,4.49E-05,-0.000100647,8.16E-05,-0.00028967,,-0.81103847,2.878081409,
163,18:31:35:862,-0.000153877,-6.95E-05,2.22E-05,0.000107907,1.43E-05,8.02E-05,-0.000196316,,5.616081923,-13.74279164,
164,18:31:36:390,4.73E-05,0.000104092,-2.12E-05,6.46E-05,-9.24E-05,-6.17E-05,-0.000146792,1.562066616,0.667118889,1.588009098,
165,18:31:36:917,-7.93E-05,-5.19E-05,2.83E-05,6.48E-05,-4.90E-05,-0.00012314,-0.00035127,,2.51067718,7.161968556,
166,18:31:37:443,6.08E-05,2.43E-05,0.000124985,3.82E-05,6.35E-05,-9.70E-05,-0.000191814,,-1.52586044,-3.018522213,
167,18:31:37:970,-1.61E-05,3.43E-05,6.31E-06,-2.20E-05,-3.15E-05,-8.37E-06,-0.000344873,0.049688124,0.26615913,10.96406983,
168,18:31:38:496,4.09E-05,0.000103377,0.000101296,1.10E-06,-1.25E-05,1.24E-05,-0.000215746,-0.121882543,-0.998165698,17.32140807,
169,18:31:39:023,-8.76E-05,-2.02E-05,3.71E-05,-5.19E-05,-2.72E-05,-2.66E-05,-0.000279956,,0.976942888,10.28011772,
170,18:31:39:551,0.000174145,0.000153626,8.12E-05,2.85E-05,-9.24E-05,-3.70E-06,-0.000120252,0.135548164,0.039992624,1.300896667,
171,18:31:40:077,8.14E-05,-8.28E-05,-5.74E-05,8.72E-05,-3.43E-05,-8.22E-05,-0.000224513,,2.399695888,6.551387617,
172,18:31:40:604,-1.64E-05,5.31E-05,-5.65E-05,2.52E-06,4.34E-05,-7.59E-05,-0.000310993,,-1.750563624,-7.170376099,
173,18:31:41:131,8.90E-07,-8.16E-05,4.80E-05,1.42E-05,-6.34E-05,-8.13E-05,-0.000270953,,1.283284715,4.276792753,
