Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9),Column1
68,15:00:38:818,2.38E-05,3.70E-05,0.006898896,0.000394009,0.129561974,0.094265543,1.131781873,0.711266156,0.727571058,8.735447875,
69,15:00:39:345,4.86E-06,-1.47E-05,0.006826419,0.000354269,0.126322481,0.091863187,1.104058772,0.710593381,0.727211709,8.740002298,
70,15:00:39:871,-6.68E-05,-0.000100165,0.006514946,0.000441842,0.123357244,0.089659079,1.077435651,0.709752922,0.726824597,8.734271425,
71,15:00:40:397,1.62E-05,-4.14E-05,0.006476702,0.000350224,0.120289194,0.087321145,1.049675082,0.709729951,0.725926756,8.726262481,
72,15:00:40:924,7.75E-05,6.60E-05,0.006205708,0.000280504,0.115509982,0.084061114,1.009137869,0.711796727,0.727738962,8.736369371,
73,15:00:41:450,5.88E-05,-4.83E-05,0.006219244,0.000402338,0.116523825,0.084840288,1.019066343,0.710804455,0.728093916,8.745562023,
74,15:00:41:976,-3.35E-05,-7.42E-05,0.006305214,0.000437321,0.116303909,0.084419139,1.015334668,0.709001155,0.72584954,8.73001329,
75,15:00:42:503,-6.76E-05,-1.52E-05,0.00620832,0.000305964,0.115823176,0.084292217,1.012366434,0.711166727,0.727766413,8.740620574,
76,15:00:43:031,-7.49E-05,-3.59E-05,0.006130669,0.000334756,0.116469153,0.084747498,1.018198347,0.710784868,0.727639007,8.742214781,
77,15:00:43:556,5.98E-05,-4.90E-05,0.006394992,0.000293115,0.121598591,0.088332227,1.061328099,0.71030489,0.726424754,8.728128235,
78,15:00:44:084,4.53E-05,-6.18E-05,0.006572434,0.0002786,0.123263861,0.089759308,1.077494928,0.711489701,0.728188355,8.741369306,
79,15:00:44:610,1.31E-05,-6.36E-07,0.006578135,0.000265514,0.121332394,0.088043419,1.058519092,0.71001028,0.725638193,8.724125991,
80,15:00:45:137,-7.94E-05,-4.23E-05,0.006415181,0.000328332,0.120573057,0.087705317,1.054047536,0.710599805,0.727403941,8.741982367,
81,15:00:45:664,7.61E-05,-9.73E-05,0.006375278,0.000387584,0.120362145,0.087541317,1.05220767,0.710059282,0.727316031,8.74201498,
82,15:00:46:190,-4.15E-05,1.10E-05,0.006253441,0.000366405,0.116376961,0.084488952,1.017146824,0.709380671,0.725993801,8.740104729,
83,15:00:46:717,-8.86E-06,-4.37E-05,0.006267215,0.000296446,0.117676351,0.085510242,1.027934291,0.710212625,0.726656131,8.735266543,
84,15:00:47:243,8.41E-06,-3.78E-05,0.006229456,0.000365215,0.118449143,0.086060888,1.034481776,0.710000471,0.726564045,8.733552228,
85,15:00:47:771,0.000101672,8.17E-06,0.006387629,0.000280028,0.118844097,0.08633083,1.038685939,0.710104587,0.726420851,8.739903476,
86,15:00:48:296,-8.15E-06,4.84E-05,0.006418032,0.000365691,0.120327038,0.087507103,1.051883649,0.710748871,0.727243888,8.741872696,
87,15:00:48:824,3.78E-05,-3.87E-05,0.00645081,0.000358552,0.120632578,0.087589708,1.052218548,0.710029907,0.726086677,8.722507349,
